folder,Score_Grader2,total_score,difference,abs_difference
1106.0,11,6,5,5
1042.0,6,11,-5,5
1238.0,29,34,-5,5
1252.0,28,24,4,4
1028.0,31,35,-4,4
1064.0,20,24,-4,4
1078.0,27,24,3,3
1181.0,28,31,-3,3
1192.0,9,6,3,3
1053.0,30,32,-2,2
1048.0,31,33,-2,2
1242.0,0,2,-2,2
1095.0,28,26,2,2
1255.0,25,23,2,2
1117.0,26,24,2,2
1293.0,15,17,-2,2
1265.0,9,11,-2,2
1237.0,7,5,2,2
1281.0,33,35,-2,2
1213.0,31,32,-1,1
1176.0,31,32,-1,1
1227.0,31,32,-1,1
1168.0,34,33,1,1
1231.0,0,1,-1,1
1272.0,30,31,-1,1
1015.0,22,21,1,1
1177.0,31,31,0,0
1061.0,0,0,0,0
1245.0,0,0,0,0
1305.0,0,0,0,0
1219.0,1,1,0,0
1163.0,33,33,0,0
